"109年01月31日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","26,430,159","8,709","1,116,222,284","41.75","42.50","41.75","42.05","+","0.20","42.05","241","42.15","1","10.36",
"1101B","台泥乙特","7,031","7","378,364","53.80","53.90","53.80","53.90","+","0.10","53.70","60","53.90","4","",
"1102","亞泥","17,190,749","7,035","780,519,790","45.20","45.90","45.05","45.15","+","0.25","45.15","359","45.20","3","9.94",
"1103","嘉泥","2,155,785","910","43,681,373","19.85","20.70","19.85","20.55","+","0.30","20.55","15","20.60","22","10.17",
"1104","環泥","535,879","344","9,851,348","18.35","18.50","18.25","18.40","+","0.05","18.35","119","18.40","5","12.03",
"1108","幸福","79,999","51","633,122","7.88","7.98","7.87","7.89","-","0.05","7.89","1","7.95","6","",
"1109","信大","763,884","304","14,146,834","18.45","18.70","18.30","18.70","+","0.30","18.65","150","18.70","30","6.54",
"1110","東泥","12,000","8","204,600","17.05","17.05","17.05","17.05"," ","0.00","16.80","3","17.05","9","852.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

