"109年03月06日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","13,206,384","4,208","566,064,257","43.20","43.20","42.50","42.85","-","0.45","42.85","343","42.90","45","10.55",
"1101B","台泥乙特","2,322","5","125,358","54.00","54.10","54.00","54.10"," ","0.00","53.90","51","54.10","20","",
"1102","亞泥","7,562,483","3,793","328,848,946","43.55","43.70","43.25","43.65","+","0.10","43.60","21","43.65","230","9.61",
"1103","嘉泥","932,124","472","18,446,805","19.95","19.95","19.70","19.85","-","0.15","19.75","12","19.85","8","9.83",
"1104","環泥","348,078","178","6,113,917","17.65","17.65","17.50","17.60","-","0.05","17.55","6","17.60","46","11.50",
"1108","幸福","322,100","118","2,388,760","7.51","7.58","7.37","7.43","-","0.12","7.43","7","7.44","1","",
"1109","信大","136,404","89","2,359,207","17.50","17.50","17.25","17.25","-","0.30","17.25","4","17.30","1","6.03",
"1110","東泥","65,000","43","1,071,250","16.80","16.80","16.40","16.50","-","0.30","16.40","1","16.50","10","825.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

