"109年01月16日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","14,814,952","5,776","662,036,531","44.50","44.95","44.45","44.75","+","0.20","44.75","1","44.80","229","11.02",
"1101B","台泥乙特","5,166","10","278,328","54.00","54.00","53.80","53.90"," ","0.00","53.70","15","53.90","1","",
"1102","亞泥","5,450,749","2,607","263,996,818","48.45","48.65","48.30","48.50"," ","0.00","48.50","125","48.55","1","10.68",
"1103","嘉泥","1,065,016","460","23,098,391","21.75","21.80","21.60","21.75"," ","0.00","21.75","22","21.80","101","10.77",
"1104","環泥","258,286","176","4,919,991","19.00","19.10","19.00","19.05","+","0.10","19.05","39","19.10","16","12.45",
"1108","幸福","81,040","41","666,018","8.17","8.26","8.17","8.23","+","0.04","8.22","17","8.23","1","",
"1109","信大","395,263","206","7,903,821","20.05","20.15","19.85","20.15","+","0.05","20.15","68","20.20","59","7.05",
"1110","東泥","9,001","7","154,617","17.10","17.20","17.10","17.20"," ","0.00","17.05","2","17.20","5","860.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

