"109年01月30日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","64,150,715","19,930","2,725,362,280","42.70","43.05","41.60","41.85","-","3.10","41.80","410","41.85","220","10.31",
"1101B","台泥乙特","30,624","29","1,646,269","53.30","53.90","53.30","53.80","-","0.10","53.80","18","53.90","52","",
"1102","亞泥","28,286,462","9,267","1,296,484,683","46.30","46.70","44.70","44.90","-","3.80","44.85","311","44.90","8","9.89",
"1103","嘉泥","4,702,523","1,807","96,596,756","21.00","21.00","20.00","20.25","-","1.70","20.20","1","20.25","43","10.02",
"1104","環泥","2,356,223","1,002","43,341,171","18.50","18.65","18.30","18.35","-","0.70","18.35","6","18.40","26","11.99",
"1108","幸福","245,000","102","1,920,729","8.00","8.14","7.46","7.94","-","0.34","7.86","1","7.94","4","",
"1109","信大","1,669,240","619","30,874,540","19.00","19.00","18.25","18.40","-","1.50","18.30","23","18.40","35","6.43",
"1110","東泥","23,000","10","391,050","17.00","17.05","16.75","17.05","-","0.10","16.60","2","17.10","14","852.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

