"109年01月17日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","9,522,761","4,164","426,564,174","44.90","44.90","44.65","44.90","+","0.15","44.85","1","44.90","675","11.06",
"1101B","台泥乙特","2,300","3","123,939","53.90","53.90","53.90","53.90"," ","0.00","53.70","51","53.90","19","",
"1102","亞泥","4,042,780","1,962","197,102,895","48.60","48.95","48.50","48.85","+","0.35","48.85","230","48.90","68","10.76",
"1103","嘉泥","1,215,599","502","26,473,261","21.80","21.85","21.70","21.80","+","0.05","21.75","54","21.80","13","10.79",
"1104","環泥","332,926","168","6,339,487","19.10","19.10","19.00","19.05"," ","0.00","19.05","32","19.10","17","12.45",
"1108","幸福","106,734","31","878,755","8.23","8.28","8.22","8.28","+","0.05","8.25","2","8.28","2","",
"1109","信大","504,678","286","10,068,842","20.15","20.15","19.85","19.90","-","0.25","19.90","35","20.00","11","6.96",
"1110","東泥","2,000","1","34,400","17.20","17.20","17.20","17.20"," ","0.00","17.05","1","17.20","13","860.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

