"109年02月14日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","9,297,256","3,502","402,285,311","43.20","43.40","43.15","43.20","+","0.05","43.20","160","43.25","354","10.64",
"1101B","台泥乙特","325,911","46","17,412,227","53.50","53.60","53.30","53.30","-","0.40","53.30","13","53.50","1","",
"1102","亞泥","9,165,278","4,195","428,069,594","46.35","46.95","46.20","46.95","+","0.50","46.95","191","47.00","233","10.34",
"1103","嘉泥","651,422","345","13,119,975","20.05","20.20","20.05","20.20","+","0.20","20.15","27","20.20","45","10.00",
"1104","環泥","314,261","163","5,671,098","18.10","18.15","18.00","18.10"," ","0.00","18.10","2","18.15","19","11.83",
"1108","幸福","34,014","19","264,179","7.80","7.84","7.74","7.76","-","0.03","7.75","9","7.77","1","",
"1109","信大","1,036,343","439","17,983,268","17.50","17.55","17.25","17.40","-","0.10","17.40","1","17.45","18","6.08",
"1110","東泥","18,139","14","304,934","16.85","16.90","16.70","16.90"," ","0.00","16.80","2","16.90","15","845.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

