"109年01月03日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","18,387,114","6,733","807,459,827","44.15","44.25","43.45","43.95","-","0.15","43.90","109","43.95","85","10.83",
"1101B","台泥乙特","8,031","7","430,461","53.60","53.60","53.60","53.60","-","0.20","53.60","1","53.70","2","",
"1102","亞泥","9,353,803","4,368","455,310,088","49.90","49.90","48.10","48.80","-","0.10","48.80","58","48.85","226","10.75",
"1103","嘉泥","4,062,196","1,506","88,940,377","22.45","22.45","21.60","21.75","-","0.60","21.75","26","21.80","13","10.77",
"1104","環泥","939,897","308","18,404,329","19.65","19.70","19.45","19.45","-","0.20","19.45","62","19.50","10","12.71",
"1108","幸福","239,000","126","1,993,140","8.40","8.40","8.28","8.37"," ","0.00","8.37","32","8.38","7","",
"1109","信大","1,045,845","479","21,446,447","20.60","20.80","20.30","20.65","+","0.15","20.60","10","20.65","7","7.22",
"1110","東泥","22,000","20","381,150","17.35","17.35","17.30","17.35"," ","0.00","17.25","4","17.35","24","867.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

