"109年01月13日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","23,870,603","6,532","1,051,194,288","43.75","44.25","43.65","44.25","+","0.75","44.20","489","44.25","522","10.90",
"1101B","台泥乙特","28,101","14","1,508,682","53.60","53.80","53.60","53.80"," ","0.00","53.60","24","53.80","12","",
"1102","亞泥","7,605,485","3,218","371,924,777","48.85","49.15","48.65","48.95","+","0.35","48.90","6","48.95","104","10.78",
"1103","嘉泥","1,452,293","563","31,100,725","21.35","21.55","21.30","21.50"," ","0.00","21.45","217","21.50","44","10.64",
"1104","環泥","338,179","208","6,452,063","19.05","19.15","19.00","19.10"," ","0.00","19.10","10","19.15","12","12.48",
"1108","幸福","48,063","24","393,526","8.14","8.21","8.14","8.21","+","0.06","8.20","10","8.23","2","",
"1109","信大","1,141,945","444","22,771,545","19.70","20.20","19.70","20.20","+","0.45","20.15","154","20.20","3","7.06",
"1110","東泥","77,001","20","1,327,767","17.20","17.30","17.20","17.30"," ","0.00","17.20","59","17.30","13","865.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

