"109年02月04日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","20,790,788","8,133","878,703,530","41.60","42.70","41.60","42.40","+","0.85","42.35","620","42.40","74","10.44",
"1101B","台泥乙特","126,125","12","6,785,000","53.80","54.00","53.70","54.00"," ","0.00","53.80","40","54.00","54","",
"1102","亞泥","12,717,585","3,837","575,641,614","45.40","45.65","44.55","45.50","+","0.50","45.50","374","45.55","55","10.02",
"1103","嘉泥","1,163,394","561","24,102,503","20.60","20.85","20.45","20.75","+","0.20","20.70","65","20.75","21","10.27",
"1104","環泥","246,988","178","4,473,374","18.10","18.25","17.95","18.25","+","0.20","18.20","12","18.25","23","11.93",
"1108","幸福","63,000","33","488,950","7.71","7.83","7.71","7.75","+","0.06","7.75","8","7.76","1","",
"1109","信大","468,467","221","8,534,148","18.10","18.30","18.10","18.20","+","0.20","18.15","109","18.20","2","6.36",
"1110","東泥","130,000","10","2,217,900","17.05","17.15","17.05","17.15","-","0.05","17.05","1","17.15","23","857.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

