"108年12月10日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","7,015,702","2,603","295,106,234","42.05","42.20","41.90","42.10","+","0.05","42.05","102","42.10","52","10.37",
"1101B","台泥乙特","11,014","7","588,447","53.50","53.50","53.40","53.40","-","0.30","53.30","5","53.60","3","",
"1102","亞泥","5,885,919","2,925","272,568,349","46.15","46.50","46.10","46.30","-","0.05","46.25","50","46.30","106","10.20",
"1103","嘉泥","814,467","301","16,167,905","19.90","19.90","19.80","19.85"," ","0.00","19.85","17","19.90","55","9.83",
"1104","環泥","261,151","107","4,940,840","18.90","18.95","18.90","18.90"," ","0.00","18.90","62","18.95","25","12.35",
"1108","幸福","37,251","17","285,435","7.66","7.67","7.66","7.67","+","0.05","7.67","8","7.70","4","",
"1109","信大","1,480,100","514","27,723,875","18.50","19.00","18.30","18.85","+","0.50","18.85","17","18.90","21","6.59",
"1110","東泥","47,020","23","794,136","16.85","16.95","16.85","16.95","-","0.05","16.85","1","16.95","7","847.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

