"108年12月24日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","7,316,572","2,355","316,064,095","43.25","43.35","43.05","43.15","-","0.10","43.15","343","43.20","13","10.63",
"1101B","台泥乙特","2,000","2","106,800","53.20","53.60","53.20","53.60"," ","0.00","53.20","2","53.60","2","",
"1102","亞泥","14,117,619","3,629","674,907,238","48.20","48.25","47.60","47.60","-","0.55","47.55","79","47.60","98","10.48",
"1103","嘉泥","612,372","165","12,298,012","20.10","20.15","20.00","20.10"," ","0.00","20.05","102","20.10","2","9.95",
"1104","環泥","536,691","273","10,293,243","19.25","19.30","19.10","19.20","-","0.05","19.15","7","19.20","8","12.55",
"1108","幸福","33,000","19","261,630","7.95","7.95","7.90","7.92"," ","0.00","7.92","7","7.95","3","",
"1109","信大","320,000","148","6,036,650","19.00","19.00","18.80","18.85","-","0.15","18.80","114","18.90","1","6.59",
"1110","東泥","44,238","31","763,543","17.15","17.35","17.15","17.35","+","0.05","17.15","57","17.35","9","867.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

