"109年02月11日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","15,825,702","4,608","675,999,276","42.50","42.90","42.50","42.60","+","0.20","42.55","287","42.60","131","10.49",
"1101B","台泥乙特","177,120","24","9,505,205","53.70","53.70","53.60","53.60","-","0.20","53.50","20","53.70","54","",
"1102","亞泥","5,592,624","2,152","256,662,315","45.70","46.00","45.50","46.00","+","0.20","45.90","460","46.00","277","10.13",
"1103","嘉泥","1,032,703","534","20,514,830","19.75","19.95","19.75","19.90","+","0.25","19.85","26","19.90","13","9.85",
"1104","環泥","319,139","188","5,762,759","18.10","18.10","18.00","18.05","+","0.05","18.00","136","18.05","105","11.80",
"1108","幸福","83,200","37","649,926","7.83","7.86","7.76","7.76","-","0.05","7.76","7","7.81","23","",
"1109","信大","844,000","335","14,547,600","17.40","17.40","17.15","17.35"," ","0.00","17.30","2","17.35","11","6.07",
"1110","東泥","3,000","3","50,950","16.95","17.00","16.95","17.00"," ","0.00","16.80","3","17.00","7","850.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

