"109年02月06日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","14,063,043","4,029","603,883,999","42.50","43.10","42.45","43.00","+","0.65","42.95","455","43.00","232","10.59",
"1101B","台泥乙特","5,247","11","282,738","53.80","54.00","53.80","54.00"," ","0.00","53.80","47","54.00","38","",
"1102","亞泥","8,615,760","2,472","394,476,805","45.20","46.05","45.20","45.95","+","0.85","45.95","110","46.00","139","10.12",
"1103","嘉泥","1,134,599","516","23,476,632","20.60","20.80","20.55","20.65"," ","0.00","20.65","97","20.70","13","10.22",
"1104","環泥","233,787","175","4,250,526","18.15","18.30","18.10","18.25","+","0.10","18.20","77","18.25","13","11.93",
"1108","幸福","144,300","62","1,137,510","7.75","7.96","7.75","7.96","+","0.20","7.95","2","7.97","2","",
"1109","信大","711,999","232","12,923,931","18.05","18.30","18.05","18.15","+","0.20","18.10","114","18.20","6","6.35",
"1110","東泥","70,000","22","1,188,600","16.90","17.10","16.90","17.10","+","0.20","17.00","2","17.10","7","855.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

