"109年01月20日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","8,870,270","3,320","398,481,034","44.95","45.00","44.85","44.95","+","0.05","44.90","151","44.95","633","11.07",
"1101B","台泥乙特","5,500","10","295,998","53.80","53.90","53.60","53.90"," ","0.00","53.70","5","54.00","52","",
"1102","亞泥","4,890,759","2,052","238,200,797","49.00","49.00","48.60","48.70","-","0.15","48.70","2","48.75","14","10.73",
"1103","嘉泥","1,271,244","529","27,783,920","21.85","21.95","21.75","21.95","+","0.15","21.90","16","21.95","29","10.87",
"1104","環泥","311,450","230","5,939,735","19.05","19.15","19.00","19.05"," ","0.00","19.05","23","19.10","26","12.45",
"1108","幸福","46,625","24","385,303","8.28","8.30","8.25","8.28"," ","0.00","8.26","9","8.28","1","",
"1109","信大","520,239","224","10,366,653","19.90","20.05","19.85","19.90"," ","0.00","19.90","31","19.95","1","6.96",
"1110","東泥","14,230","7","243,910","17.20","17.20","17.10","17.15","-","0.05","17.10","1","17.15","5","857.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

