"109年02月03日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","23,001,298","8,088","942,583,933","40.50","41.65","40.10","41.55","-","0.50","41.55","194","41.60","186","10.23",
"1101B","台泥乙特","53,370","18","2,875,595","53.30","54.00","53.30","54.00","+","0.10","53.80","30","54.00","4","",
"1102","亞泥","14,750,980","6,778","651,863,000","43.70","45.10","42.65","45.00","-","0.15","45.00","75","45.05","114","9.91",
"1103","嘉泥","2,277,468","1,023","46,053,162","20.00","20.55","19.70","20.55"," ","0.00","20.45","2","20.55","2","10.17",
"1104","環泥","992,502","526","17,823,581","18.20","18.20","17.85","18.05","-","0.35","18.05","4","18.10","14","11.80",
"1108","幸福","179,000","65","1,346,970","7.79","7.79","7.43","7.69","-","0.20","7.68","1","7.69","1","",
"1109","信大","790,716","423","14,159,188","18.50","18.50","17.55","18.00","-","0.70","17.95","10","18.00","5","6.29",
"1110","東泥","1,838,000","53","32,145,850","16.80","17.50","16.75","17.20","+","0.15","16.80","1","17.20","8","860.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

