"109年02月17日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","10,347,058","3,109","444,890,344","42.80","43.10","42.75","43.00","-","0.20","43.00","4,262","43.05","14","10.59",
"1101B","台泥乙特","67,078","25","3,587,645","53.30","53.50","53.30","53.50","+","0.20","53.40","88","53.50","43","",
"1102","亞泥","5,510,177","1,825","257,209,012","46.60","46.95","46.35","46.95"," ","0.00","46.95","525","47.00","455","10.34",
"1103","嘉泥","914,743","368","18,405,927","20.15","20.25","19.95","20.10","-","0.10","20.10","54","20.15","4","9.95",
"1104","環泥","219,451","155","3,962,731","18.10","18.10","18.00","18.05","-","0.05","18.05","8","18.10","21","11.80",
"1108","幸福","178,226","63","1,358,449","7.65","7.76","7.56","7.66","-","0.10","7.66","1","7.71","1","",
"1109","信大","357,000","138","6,178,550","17.40","17.40","17.25","17.35","-","0.05","17.35","2","17.40","39","6.07",
"1110","東泥","8,003","5","134,700","16.85","16.85","16.80","16.80","-","0.10","16.80","1","16.85","2","840.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

