"108年12月19日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","14,560,126","3,019","624,922,837","43.00","43.00","42.75","43.00"," ","0.00","42.95","45","43.00","1,830","10.59",
"1101B","台泥乙特","2,000","2","107,000","53.50","53.50","53.50","53.50"," ","0.00","53.20","1","53.50","2","",
"1102","亞泥","8,032,607","2,811","384,154,212","47.95","48.00","47.60","47.70","-","0.25","47.70","109","47.75","9","10.51",
"1103","嘉泥","702,173","263","14,027,970","20.10","20.10","19.90","20.05","-","0.05","20.00","7","20.05","28","9.93",
"1104","環泥","451,942","244","8,821,816","19.55","19.65","19.40","19.45","-","0.05","19.40","83","19.45","9","12.71",
"1108","幸福","28,553","18","226,967","7.95","7.99","7.93","7.94","-","0.05","7.94","1","7.97","8","",
"1109","信大","594,182","255","11,248,308","19.15","19.15","18.80","19.00","-","0.10","18.95","5","19.00","19","6.64",
"1110","東泥","83,000","39","1,425,200","17.30","17.30","17.05","17.15","-","0.15","17.10","3","17.15","3","857.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

