"108年12月11日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","9,100,929","2,859","383,853,812","42.10","42.25","42.05","42.15","+","0.05","42.15","497","42.20","35","10.38",
"1101B","台泥乙特","17,075","16","909,281","53.60","53.60","53.10","53.30","-","0.10","53.10","1","53.30","3","",
"1102","亞泥","11,695,383","4,464","547,054,310","47.00","47.00","46.40","46.80","+","0.50","46.80","155","46.85","186","10.31",
"1103","嘉泥","1,248,773","438","24,963,510","19.90","20.05","19.90","20.05","+","0.20","20.00","2","20.05","87","9.93",
"1104","環泥","296,241","139","5,612,775","18.95","19.00","18.90","18.90"," ","0.00","18.90","193","18.95","3","12.35",
"1108","幸福","23,423","15","179,868","7.68","7.68","7.67","7.68","+","0.01","7.67","17","7.70","3","",
"1109","信大","2,012,125","744","38,627,350","19.05","19.35","19.00","19.25","+","0.40","19.15","42","19.25","15","6.73",
"1110","東泥","14,000","7","237,200","16.90","16.95","16.90","16.95"," ","0.00","16.85","1","16.95","5","847.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

