"108年12月23日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","14,298,499","5,138","616,191,040","42.95","43.25","42.95","43.25","+","0.30","43.20","143","43.25","171","10.65",
"1101B","台泥乙特","2,000","2","107,100","53.50","53.60","53.50","53.60"," ","0.00","53.20","2","53.60","2","",
"1102","亞泥","14,369,205","3,432","689,845,540","47.80","48.25","47.50","48.15","+","0.35","48.10","50","48.15","165","10.61",
"1103","嘉泥","1,261,690","273","25,338,864","20.00","20.15","19.95","20.10","+","0.10","20.10","46","20.15","64","9.95",
"1104","環泥","436,235","262","8,408,217","19.35","19.40","19.20","19.25","-","0.10","19.25","28","19.30","14","12.58",
"1108","幸福","31,000","20","245,420","7.90","7.93","7.90","7.92","+","0.03","7.91","24","7.95","10","",
"1109","信大","583,370","156","11,062,530","18.90","19.05","18.85","19.00","+","0.05","18.95","3","19.00","10","6.64",
"1110","東泥","36,981","27","636,772","17.20","17.30","17.15","17.30","+","0.15","17.15","21","17.30","16","865.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

