"109年03月03日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","14,474,150","4,446","618,431,178","42.60","42.90","42.50","42.65","+","0.40","42.65","56","42.70","62","10.50",
"1101B","台泥乙特","24,045","11","1,298,121","53.80","54.10","53.80","54.10"," ","0.00","53.80","99","54.10","27","",
"1102","亞泥","19,215,183","6,799","838,368,557","44.15","44.50","43.10","43.10","-","0.80","43.10","363","43.30","6","9.49",
"1103","嘉泥","1,163,696","480","23,153,231","20.05","20.05","19.80","19.90","+","0.05","19.85","8","19.90","20","9.85",
"1104","環泥","362,575","205","6,378,485","17.65","17.70","17.55","17.60","+","0.10","17.55","20","17.60","129","11.50",
"1108","幸福","54,400","19","414,540","7.60","7.66","7.60","7.61","-","0.01","7.61","2","7.63","1","",
"1109","信大","152,673","104","2,640,324","17.25","17.40","17.25","17.25","-","0.05","17.25","25","17.30","19","6.03",
"1110","東泥","50,076","18","819,896","16.45","16.45","16.20","16.40","+","0.20","16.20","1","16.50","21","820.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

