"109年02月12日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","14,367,529","3,855","615,124,852","42.60","43.00","42.60","42.80","+","0.20","42.80","192","42.85","240","10.54",
"1101B","台泥乙特","495,303","19","26,364,560","53.60","53.70","53.60","53.60"," ","0.00","53.30","2","53.70","16","",
"1102","亞泥","5,974,096","2,206","274,898,166","46.00","46.30","45.75","46.10","+","0.10","46.00","28","46.10","73","10.15",
"1103","嘉泥","979,141","476","19,550,697","19.90","20.10","19.80","19.95","+","0.05","19.90","87","19.95","7","9.88",
"1104","環泥","662,027","306","11,933,734","18.10","18.10","18.00","18.05"," ","0.00","18.05","11","18.10","36","11.80",
"1108","幸福","61,000","32","476,290","7.80","7.91","7.78","7.80","+","0.04","7.80","1","7.82","1","",
"1109","信大","426,812","190","7,430,309","17.35","17.65","17.25","17.55","+","0.20","17.55","9","17.60","15","6.14",
"1110","東泥","50,076","22","842,926","16.90","16.90","16.70","16.90","-","0.10","16.85","4","16.90","4","845.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

