"108年12月25日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","6,263,599","2,200","269,596,607","43.00","43.25","42.90","43.10","-","0.05","43.05","170","43.10","196","10.62",
"1101B","台泥乙特","7,340","7","390,421","53.20","53.60","53.10","53.60"," ","0.00","53.20","10","53.60","118","",
"1102","亞泥","8,697,822","4,056","412,323,434","47.70","48.05","46.95","47.25","-","0.35","47.20","162","47.25","4","10.41",
"1103","嘉泥","8,771,197","1,690","179,832,320","20.10","20.80","20.10","20.80","+","0.70","20.80","63","20.85","72","10.30",
"1104","環泥","219,456","106","4,216,696","19.15","19.30","19.15","19.25","+","0.05","19.20","49","19.25","7","12.58",
"1108","幸福","59,045","24","470,795","7.97","7.99","7.97","7.97","+","0.05","7.95","5","7.97","2","",
"1109","信大","545,513","170","10,280,468","18.85","18.95","18.75","18.80","-","0.05","18.80","3","18.85","11","6.57",
"1110","東泥","35,000","25","603,700","17.20","17.30","17.20","17.30","-","0.05","17.15","45","17.30","29","865.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

