"109年01月08日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","13,465,670","4,685","583,893,343","43.15","43.55","43.15","43.40","-","0.20","43.35","352","43.40","166","10.69",
"1101B","台泥乙特","11,939","7","640,936","53.50","53.80","53.50","53.80","-","0.10","53.60","20","53.80","4","",
"1102","亞泥","7,750,971","3,273","374,685,630","47.90","48.55","47.85","48.55","+","0.20","48.40","46","48.55","123","10.69",
"1103","嘉泥","2,606,883","1,188","55,920,738","21.80","21.80","21.30","21.30","-","0.65","21.30","110","21.35","1","10.54",
"1104","環泥","522,336","289","9,950,984","19.20","19.20","19.00","19.05","-","0.15","19.00","191","19.05","10","12.45",
"1108","幸福","94,000","46","772,080","8.24","8.28","8.15","8.15","-","0.08","8.13","17","8.15","1","",
"1109","信大","373,382","206","7,547,415","20.25","20.30","20.15","20.30","-","0.10","20.20","5","20.30","24","7.10",
"1110","東泥","76,260","32","1,314,522","17.25","17.30","17.20","17.30","-","0.05","17.20","23","17.25","14","865.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

