"109年02月21日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","10,565,795","2,771","456,575,839","43.15","43.35","43.05","43.25","+","0.10","43.25","92","43.30","70","10.65",
"1101B","台泥乙特","14,347","14","771,867","53.80","53.80","53.80","53.80"," ","0.00","53.50","81","53.80","101","",
"1102","亞泥","8,108,780","3,234","372,672,977","46.05","46.50","45.45","46.25","+","0.10","46.15","58","46.25","35","10.19",
"1103","嘉泥","1,170,769","819","23,660,653","20.10","20.30","20.00","20.30","+","0.10","20.25","2","20.30","39","10.05",
"1104","環泥","224,168","167","4,054,595","18.10","18.15","18.05","18.10"," ","0.00","18.10","3","18.15","28","11.83",
"1108","幸福","23,000","18","177,260","7.70","7.72","7.70","7.72","+","0.02","7.72","2","7.73","1","",
"1109","信大","314,000","171","5,450,550","17.25","17.50","17.25","17.35"," ","0.00","17.30","48","17.35","16","6.07",
"1110","東泥","181,000","109","2,991,550","16.80","16.80","16.35","16.60","-","0.25","16.40","6","16.60","5","830.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

