"109年02月13日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","18,326,337","6,489","790,906,891","42.80","43.45","42.80","43.15","+","0.35","43.10","402","43.15","161","10.63",
"1101B","台泥乙特","154,038","23","8,256,336","53.40","53.70","53.40","53.70","+","0.10","53.50","41","53.70","7","",
"1102","亞泥","7,882,296","2,358","365,098,767","46.00","46.45","45.85","46.45","+","0.35","46.45","227","46.50","851","10.23",
"1103","嘉泥","1,254,365","473","25,218,513","20.00","20.30","20.00","20.00","+","0.05","20.00","36","20.10","13","9.90",
"1104","環泥","285,597","189","5,163,601","18.05","18.15","18.05","18.10","+","0.05","18.05","45","18.10","4","11.83",
"1108","幸福","73,064","39","569,134","7.83","7.83","7.75","7.79","-","0.01","7.78","2","7.80","10","",
"1109","信大","411,624","211","7,194,869","17.60","17.60","17.40","17.50","-","0.05","17.50","1","17.55","7","6.12",
"1110","東泥","66,000","23","1,104,350","16.85","16.90","16.55","16.90"," ","0.00","16.80","2","16.90","1","845.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

