"109年01月02日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","18,470,566","6,251","813,465,904","43.80","44.15","43.80","44.10","+","0.40","44.05","712","44.10","3","10.86",
"1101B","台泥乙特","12,000","10","643,200","53.50","53.80","53.50","53.80","-","0.10","53.50","32","53.70","1","",
"1102","亞泥","8,890,485","4,391","433,140,140","48.10","49.00","48.05","48.90","+","0.95","48.85","1","48.90","209","10.77",
"1103","嘉泥","2,194,046","883","49,255,964","22.40","22.70","22.35","22.35"," ","0.00","22.35","51","22.40","33","11.06",
"1104","環泥","867,516","384","17,026,458","19.60","19.70","19.55","19.65","+","0.05","19.60","76","19.65","38","12.84",
"1108","幸福","310,216","162","2,593,989","8.38","8.45","8.28","8.37","-","0.01","8.37","8","8.39","4","",
"1109","信大","1,314,756","601","26,866,559","20.20","20.60","20.20","20.50","+","0.40","20.50","44","20.55","31","7.17",
"1110","東泥","38,908","18","674,967","17.40","17.40","17.30","17.35","-","0.10","17.30","4","17.35","3","867.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

