"109年02月27日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","15,386,463","5,246","650,149,283","42.20","42.40","42.05","42.25","+","0.05","42.20","489","42.25","17","10.41",
"1101B","台泥乙特","127,103","16","6,863,441","53.90","54.00","53.90","54.00"," ","0.00","53.90","52","54.00","14","",
"1102","亞泥","11,306,775","3,536","501,900,657","44.25","45.05","44.05","44.35","+","0.05","44.35","268","44.40","17","9.77",
"1103","嘉泥","1,473,662","675","29,462,935","20.20","20.20","19.80","19.95","-","0.15","19.90","11","19.95","29","9.88",
"1104","環泥","879,141","404","15,674,169","17.90","17.90","17.75","17.75","-","0.15","17.75","42","17.85","96","11.60",
"1108","幸福","56,160","36","429,987","7.73","7.73","7.60","7.62","-","0.11","7.60","2","7.64","2","",
"1109","信大","432,275","238","7,336,910","17.15","17.20","16.80","16.95","-","0.25","16.85","9","16.95","3","5.93",
"1110","東泥","949,035","39","15,937,236","16.85","16.85","16.55","16.60","-","0.15","16.55","1","16.60","3","830.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

