"109年02月18日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","9,220,879","2,509","396,963,797","43.00","43.20","42.90","43.05","+","0.05","43.00","944","43.05","300","10.60",
"1101B","台泥乙特","55,031","6","2,944,455","53.50","53.60","53.40","53.60","+","0.10","53.40","38","53.60","1","",
"1102","亞泥","5,737,885","2,498","269,788,665","46.50","47.35","46.50","47.35","+","0.40","47.15","18","47.35","75","10.43",
"1103","嘉泥","928,755","490","18,806,870","20.10","20.40","20.05","20.30","+","0.20","20.25","6","20.30","64","10.05",
"1104","環泥","215,053","114","3,884,707","18.05","18.10","18.00","18.10","+","0.05","18.05","33","18.10","3","11.83",
"1108","幸福","146,000","21","1,128,420","7.71","7.75","7.70","7.70","+","0.04","7.70","9","7.71","1","",
"1109","信大","181,156","81","3,149,556","17.35","17.45","17.35","17.40","+","0.05","17.35","18","17.40","14","6.08",
"1110","東泥","20,000","13","337,400","16.85","16.90","16.80","16.90","+","0.10","16.80","2","16.95","2","845.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

