"109年01月09日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","17,899,047","4,299","777,095,165","43.40","43.60","43.30","43.45","+","0.05","43.40","411","43.45","359","10.70",
"1101B","台泥乙特","1,000","1","53,800","53.80","53.80","53.80","53.80"," ","0.00","53.70","10","53.80","10","",
"1102","亞泥","6,330,170","2,860","308,785,176","48.55","49.00","48.50","48.95","+","0.40","48.90","1","48.95","290","10.78",
"1103","嘉泥","1,456,880","655","31,193,118","21.40","21.55","21.25","21.55","+","0.25","21.50","23","21.55","53","10.67",
"1104","環泥","397,761","189","7,579,232","19.05","19.10","19.00","19.05"," ","0.00","19.00","216","19.05","72","12.45",
"1108","幸福","120,076","55","981,266","8.15","8.22","8.15","8.18","+","0.03","8.18","7","8.21","8","",
"1109","信大","455,064","198","9,282,248","20.35","20.50","20.30","20.40","+","0.10","20.40","21","20.45","1","7.13",
"1110","東泥","119,917","24","2,067,121","17.30","17.30","17.20","17.30"," ","0.00","17.20","54","17.30","56","865.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

