"109年02月07日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","13,537,254","4,510","574,693,939","42.20","42.70","42.05","42.50","-","0.50","42.45","974","42.50","115","10.47",
"1101B","台泥乙特","288,060","25","15,498,209","53.90","53.90","53.80","53.80","-","0.20","53.80","13","53.90","11","",
"1102","亞泥","7,168,123","3,140","326,534,591","45.35","45.95","45.20","45.80","-","0.15","45.80","16","45.85","24","10.09",
"1103","嘉泥","3,671,546","1,338","73,828,694","20.35","20.35","19.95","20.00","-","0.65","19.95","162","20.00","45","9.90",
"1104","環泥","408,335","287","7,379,422","18.20","18.20","18.00","18.15","-","0.10","18.10","8","18.15","11","11.86",
"1108","幸福","121,113","76","953,856","7.99","7.99","7.76","7.80","-","0.16","7.80","15","7.83","1","",
"1109","信大","665,557","335","11,806,176","18.05","18.05","17.65","17.75","-","0.40","17.75","4","17.80","5","6.21",
"1110","東泥","12,361","9","210,173","17.00","17.00","17.00","17.00","-","0.10","16.80","8","17.00","10","850.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

