"108年12月16日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","13,795,707","4,564","590,586,659","42.85","43.00","42.65","42.80","+","0.25","42.75","351","42.80","38","10.54",
"1101B","台泥乙特","2,231","5","119,358","53.50","53.50","53.50","53.50","-","0.10","53.50","123","53.60","11","",
"1102","亞泥","7,557,117","2,977","356,932,294","47.60","47.65","47.10","47.15","-","0.25","47.10","505","47.15","18","10.39",
"1103","嘉泥","827,496","327","16,516,035","19.90","20.05","19.85","19.95","+","0.05","19.95","114","20.00","73","9.88",
"1104","環泥","987,813","552","19,158,017","19.40","19.50","19.30","19.35"," ","0.00","19.35","113","19.40","44","12.65",
"1108","幸福","105,361","63","823,955","7.77","7.84","7.74","7.83","+","0.06","7.83","15","7.84","2","",
"1109","信大","350,627","235","6,702,073","19.10","19.20","19.00","19.20","+","0.15","19.15","38","19.20","68","6.71",
"1110","東泥","48,672","31","824,439","16.95","17.00","16.90","16.95","-","0.05","16.85","12","16.95","11","847.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

