"109年01月07日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","14,185,347","4,739","616,059,913","43.45","43.60","43.20","43.60","+","0.15","43.55","56","43.65","497","10.74",
"1101B","台泥乙特","14,200","13","761,420","53.50","53.90","53.50","53.90","+","0.50","53.50","34","53.90","6","",
"1102","亞泥","8,580,403","3,585","413,615,684","48.15","48.50","47.85","48.35","+","0.05","48.35","16","48.40","23","10.65",
"1103","嘉泥","2,878,871","1,102","63,075,322","21.70","22.15","21.60","21.95","+","0.35","21.95","18","22.00","79","10.87",
"1104","環泥","337,906","194","6,486,744","19.25","19.30","19.10","19.20","-","0.05","19.20","1","19.25","8","12.55",
"1108","幸福","77,608","46","639,534","8.29","8.30","8.20","8.23","+","0.02","8.23","2","8.25","1","",
"1109","信大","611,254","333","12,392,488","20.50","20.50","20.10","20.40","-","0.15","20.40","19","20.45","13","7.13",
"1110","東泥","144,759","109","2,504,298","17.20","17.40","17.20","17.35","+","0.10","17.25","2","17.35","6","867.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

