"109年03月02日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","19,464,670","6,713","820,634,945","41.40","42.60","41.40","42.25"," ","0.00","42.25","3,076","42.30","47","10.41",
"1101B","台泥乙特","221,000","36","11,931,400","53.70","54.10","53.70","54.10","+","0.10","53.90","47","54.10","19","",
"1102","亞泥","15,205,546","6,515","665,152,354","43.00","44.45","43.00","43.90","-","0.45","43.90","115","43.95","105","9.67",
"1103","嘉泥","2,105,346","819","41,609,681","19.25","20.05","19.20","19.85","-","0.10","19.75","3","19.85","37","9.83",
"1104","環泥","923,863","417","16,207,063","17.50","17.65","17.45","17.50","-","0.25","17.50","64","17.60","19","11.44",
"1108","幸福","272,000","51","2,070,250","7.51","7.79","7.50","7.62"," ","0.00","7.57","3","7.65","5","",
"1109","信大","430,000","228","7,343,550","16.85","17.30","16.60","17.30","+","0.35","17.20","19","17.30","16","6.05",
"1110","東泥","790,000","34","12,804,250","16.20","16.40","16.20","16.20","-","0.40","16.15","7","16.25","11","810.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

