"109年02月25日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","17,268,484","7,454","737,292,511","42.35","43.00","42.30","42.70","-","0.30","42.70","170","42.75","65","10.52",
"1101B","台泥乙特","73,640","12","3,969,460","53.90","54.00","53.90","54.00","+","0.10","53.60","111","54.00","8","",
"1102","亞泥","18,606,637","6,414","836,261,315","45.05","45.25","44.80","44.85","-","1.30","44.85","126","44.90","30","9.88",
"1103","嘉泥","1,085,048","663","21,805,609","20.00","20.20","19.95","20.20"," ","0.00","20.15","3","20.20","173","10.00",
"1104","環泥","267,521","150","4,791,546","17.90","18.00","17.85","17.90","-","0.10","17.90","115","17.95","36","11.70",
"1108","幸福","100,042","22","768,753","7.73","7.73","7.66","7.70","-","0.03","7.70","1","7.72","1","",
"1109","信大","333,267","183","5,683,639","17.15","17.20","17.00","17.00","-","0.15","17.00","43","17.05","8","5.94",
"1110","東泥","18,000","10","296,600","16.45","16.55","16.40","16.45","-","0.10","16.45","4","16.50","3","822.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

