"108年12月27日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","9,708,049","2,564","418,613,669","43.10","43.25","43.00","43.25","+","0.20","43.20","54","43.25","599","10.65",
"1101B","台泥乙特","42,000","12","2,243,000","53.20","53.50","53.20","53.50","+","0.10","53.30","53","53.50","4","",
"1102","亞泥","7,367,788","4,813","348,752,001","47.50","47.70","47.20","47.70","+","0.40","47.65","3","47.70","40","10.51",
"1103","嘉泥","6,506,902","2,105","141,276,185","21.55","22.15","21.20","22.00","+","0.50","22.00","183","22.05","37","10.89",
"1104","環泥","774,601","257","14,846,402","19.25","19.30","19.10","19.25","+","0.15","19.25","14","19.30","46","12.58",
"1108","幸福","3,597,875","293","29,185,456","8.00","8.28","8.00","8.12","+","0.08","8.12","19","8.13","1","",
"1109","信大","635,021","304","12,057,549","18.85","19.05","18.85","19.05","+","0.20","19.00","2","19.05","5","6.66",
"1110","東泥","123,050","38","2,119,460","17.20","17.30","17.15","17.30","+","0.10","17.15","10","17.30","40","865.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

