"109年02月20日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","10,840,090","3,693","470,884,644","43.55","43.80","43.15","43.15","-","0.25","43.10","265","43.15","11","10.63",
"1101B","台泥乙特","6,266","8","337,082","53.80","53.80","53.80","53.80","+","0.10","53.50","21","53.80","105","",
"1102","亞泥","10,395,368","4,460","480,891,977","47.00","47.20","45.85","46.15","-","1.05","46.15","32","46.20","33","10.17",
"1103","嘉泥","1,303,695","751","26,383,864","20.45","20.50","20.05","20.20","-","0.20","20.15","8","20.20","26","10.00",
"1104","環泥","236,954","139","4,296,060","18.15","18.20","18.10","18.10"," ","0.00","18.10","6","18.15","19","11.83",
"1108","幸福","26,038","19","200,872","7.70","7.79","7.69","7.70"," ","0.00","7.71","1","7.73","2","",
"1109","信大","423,001","226","7,354,617","17.50","17.50","17.30","17.35","-","0.20","17.35","21","17.40","17","6.07",
"1110","東泥","26,011","15","437,534","16.95","16.95","16.70","16.85","-","0.10","16.75","2","16.85","12","842.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

