"109年02月05日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","15,228,671","5,257","644,977,888","42.50","42.65","41.95","42.35","-","0.05","42.35","273","42.40","21","10.43",
"1101B","台泥乙特","2,044","7","110,165","53.80","54.00","53.80","54.00"," ","0.00","53.90","30","54.00","58","",
"1102","亞泥","11,926,255","4,030","539,346,566","45.50","45.50","44.90","45.10","-","0.40","45.10","175","45.15","2","9.93",
"1103","嘉泥","974,123","523","20,081,683","20.85","20.85","20.50","20.65","-","0.10","20.60","40","20.70","36","10.22",
"1104","環泥","374,875","228","6,786,535","18.25","18.25","18.00","18.15","-","0.10","18.15","2","18.20","33","11.86",
"1108","幸福","41,073","27","318,282","7.75","7.79","7.72","7.76","+","0.01","7.77","8","7.78","1","",
"1109","信大","599,035","287","10,757,333","18.10","18.45","17.70","17.95","-","0.25","17.95","8","18.00","46","6.28",
"1110","東泥","13,000","9","220,200","17.00","17.00","16.90","16.90","-","0.25","16.90","2","16.95","31","845.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

