"109年01月14日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","20,357,664","5,770","904,504,264","44.25","44.55","44.25","44.55","+","0.30","44.50","14","44.55","160","10.97",
"1101B","台泥乙特","23,370","19","1,254,881","53.60","53.90","53.60","53.90","+","0.10","53.70","51","53.90","33","",
"1102","亞泥","7,663,581","2,760","374,720,243","48.90","49.05","48.75","49.00","+","0.05","48.90","146","49.00","20","10.79",
"1103","嘉泥","1,555,707","595","33,744,845","21.55","21.80","21.55","21.65","+","0.15","21.65","7","21.70","65","10.72",
"1104","環泥","382,853","218","7,314,489","19.15","19.20","19.05","19.10"," ","0.00","19.10","12","19.15","16","12.48",
"1108","幸福","180,226","39","1,482,175","8.22","8.26","8.21","8.22","+","0.01","8.21","71","8.22","22","",
"1109","信大","292,360","178","5,865,500","20.05","20.15","20.00","20.10","-","0.10","20.05","9","20.10","77","7.03",
"1110","東泥","82,000","15","1,410,050","17.20","17.25","17.15","17.15","-","0.15","17.15","1","17.20","7","857.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

