"109年02月10日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","12,820,414","4,073","541,670,664","42.00","42.60","41.70","42.40","-","0.10","42.35","59","42.40","82","10.44",
"1101B","台泥乙特","451,330","49","24,281,520","53.80","53.80","53.80","53.80"," ","0.00","53.70","50","53.80","62","",
"1102","亞泥","6,818,988","2,205","310,639,241","45.30","46.00","45.00","45.80"," ","0.00","45.65","123","45.80","231","10.09",
"1103","嘉泥","2,772,592","1,055","54,681,523","19.50","19.95","19.50","19.65","-","0.35","19.65","179","19.70","22","9.73",
"1104","環泥","490,369","294","8,811,141","18.00","18.10","17.85","18.00","-","0.15","18.00","14","18.05","3","11.76",
"1108","幸福","67,000","27","524,130","7.80","7.89","7.80","7.81","+","0.01","7.80","11","7.81","1","",
"1109","信大","833,439","426","14,392,263","17.45","17.45","17.10","17.35","-","0.40","17.30","5","17.40","7","6.07",
"1110","東泥","8,003","3","136,051","17.00","17.00","17.00","17.00"," ","0.00","16.80","1","17.00","2","850.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

