"109年01月15日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","23,662,867","7,657","1,053,815,288","44.55","44.70","44.30","44.55"," ","0.00","44.50","101","44.55","422","10.97",
"1101B","台泥乙特","9,013","9","485,198","53.80","53.90","53.80","53.90"," ","0.00","53.70","50","53.90","44","",
"1102","亞泥","7,897,581","2,932","384,291,572","48.90","49.15","48.35","48.50","-","0.50","48.50","130","48.55","24","10.68",
"1103","嘉泥","1,198,136","553","25,987,336","21.55","21.80","21.55","21.75","+","0.10","21.65","75","21.75","38","10.77",
"1104","環泥","591,767","341","11,245,722","19.10","19.10","18.95","18.95","-","0.15","18.95","12","19.00","20","12.39",
"1108","幸福","160,000","41","1,313,360","8.22","8.23","8.18","8.19","-","0.03","8.19","18","8.23","5","",
"1109","信大","437,001","276","8,734,869","20.00","20.10","19.90","20.10"," ","0.00","20.10","8","20.15","6","7.03",
"1110","東泥","207,175","21","3,547,310","17.15","17.20","17.05","17.20","+","0.05","17.00","2","17.20","7","860.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

