"109年01月10日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","12,755,874","3,188","554,204,406","43.45","43.50","43.35","43.50","+","0.05","43.45","275","43.50","887","10.71",
"1101B","台泥乙特","8,000","8","429,900","53.60","53.80","53.60","53.80"," ","0.00","53.70","10","53.80","19","",
"1102","亞泥","5,072,608","1,956","246,529,325","48.95","48.95","48.45","48.60","-","0.35","48.55","385","48.60","37","10.70",
"1103","嘉泥","708,846","398","15,214,603","21.55","21.60","21.35","21.50","-","0.05","21.45","4","21.50","31","10.64",
"1104","環泥","333,352","203","6,352,538","19.15","19.15","19.00","19.10","+","0.05","19.05","24","19.10","5","12.48",
"1108","幸福","180,257","60","1,473,404","8.26","8.26","8.13","8.15","-","0.03","8.15","4","8.18","6","",
"1109","信大","1,457,125","635","29,128,218","20.40","20.60","19.60","19.75","-","0.65","19.70","107","19.80","21","6.91",
"1110","東泥","20,433","21","353,397","17.30","17.30","17.25","17.30"," ","0.00","17.25","5","17.30","7","865.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

