"108年12月20日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","17,435,375","4,262","748,929,086","43.00","43.10","42.80","42.95","-","0.05","42.95","387","43.00","1,239","10.58",
"1101B","台泥乙特","8,067","14","432,387","53.60","53.60","53.60","53.60","+","0.10","53.20","3","53.60","13","",
"1102","亞泥","19,976,449","5,094","955,729,779","47.70","48.20","47.45","47.80","+","0.10","47.80","4","47.90","595","10.53",
"1103","嘉泥","1,050,273","226","20,973,890","20.05","20.05","19.90","20.00","-","0.05","19.95","199","20.00","7","9.90",
"1104","環泥","328,741","192","6,369,534","19.45","19.45","19.35","19.35","-","0.10","19.35","21","19.40","16","12.65",
"1108","幸福","29,000","14","229,250","7.93","7.93","7.88","7.89","-","0.05","7.89","3","7.90","1","",
"1109","信大","560,487","237","10,573,529","19.00","19.00","18.80","18.95","-","0.05","18.95","13","19.00","24","6.63",
"1110","東泥","37,000","19","632,700","17.15","17.15","17.05","17.15"," ","0.00","17.05","11","17.15","23","857.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

