"108年12月30日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","20,828,515","6,151","909,496,247","43.35","43.90","43.30","43.65","+","0.40","43.60","72","43.65","86","10.75",
"1101B","台泥乙特","18,848","16","1,007,066","53.50","53.50","53.40","53.50"," ","0.00","53.40","32","53.50","20","",
"1102","亞泥","14,653,220","7,794","707,615,503","47.70","48.75","47.60","48.15","+","0.45","48.15","121","48.20","2","10.61",
"1103","嘉泥","6,503,079","2,101","146,694,570","22.10","22.85","22.10","22.75","+","0.75","22.75","19","22.80","237","11.26",
"1104","環泥","2,790,103","462","53,942,030","19.25","19.40","19.20","19.35","+","0.10","19.35","4","19.40","27","12.65",
"1108","幸福","2,457,533","915","21,064,442","8.12","8.81","8.12","8.56","+","0.44","8.56","2","8.60","6","",
"1109","信大","8,124,070","2,998","166,661,705","19.20","20.95","19.20","20.95","+","1.90","20.95","196","--","0","7.33",
"1110","東泥","27,334","19","471,010","17.30","17.30","17.20","17.25","-","0.05","17.20","59","17.25","11","862.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

