"108年12月13日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","20,556,121","6,030","875,686,573","42.40","42.85","42.40","42.55","+","0.25","42.55","721","42.60","92","10.48",
"1101B","台泥乙特","238,039","19","12,735,578","53.50","53.60","53.50","53.60","+","0.10","53.50","125","53.60","2","",
"1102","亞泥","13,183,356","5,438","625,382,708","47.60","47.85","47.00","47.40","-","0.05","47.30","30","47.40","111","10.44",
"1103","嘉泥","1,184,184","481","23,463,930","19.90","19.90","19.70","19.90"," ","0.00","19.85","2","19.90","25","9.85",
"1104","環泥","2,032,552","772","39,286,366","19.15","19.60","19.15","19.35","+","0.30","19.30","21","19.35","13","12.65",
"1108","幸福","114,001","56","882,527","7.80","7.80","7.71","7.77","+","0.05","7.72","5","7.77","2","",
"1109","信大","678,873","264","12,932,592","19.10","19.20","18.90","19.05","-","0.05","19.00","6","19.05","7","6.66",
"1110","東泥","3,242","4","55,088","17.00","17.00","17.00","17.00"," ","0.00","16.80","69","17.00","13","850.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

