"108年12月26日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","5,645,778","1,850","242,685,554","43.15","43.15","42.90","43.05","-","0.05","43.00","446","43.05","134","10.60",
"1101B","台泥乙特","43,000","20","2,285,500","53.20","53.40","53.10","53.40","-","0.20","53.40","3","53.50","2","",
"1102","亞泥","6,886,642","3,795","324,748,449","47.40","47.45","47.05","47.30","+","0.05","47.25","1","47.30","35","10.42",
"1103","嘉泥","13,185,191","4,161","279,484,614","21.20","21.55","20.90","21.50","+","0.70","21.50","6","21.55","97","10.64",
"1104","環泥","392,681","218","7,515,849","19.20","19.25","19.05","19.10","-","0.15","19.10","132","19.20","35","12.48",
"1108","幸福","213,887","77","1,712,506","8.00","8.04","7.94","8.04","+","0.07","8.00","17","8.04","16","",
"1109","信大","498,603","190","9,384,034","18.80","18.90","18.75","18.85","+","0.05","18.85","9","18.90","21","6.59",
"1110","東泥","10,100","8","173,710","17.20","17.20","17.20","17.20","-","0.10","17.15","30","17.20","16","860.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

