"108年12月31日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","8,465,583","3,374","369,694,894","43.65","43.80","43.50","43.70","+","0.05","43.65","304","43.70","158","10.76",
"1101B","台泥乙特","89,886","21","4,809,188","53.40","53.90","53.40","53.90","+","0.40","53.40","30","53.90","3","",
"1102","亞泥","7,053,510","2,835","339,250,864","48.15","48.30","47.90","47.95","-","0.20","47.95","48","48.00","101","10.56",
"1103","嘉泥","3,657,824","1,347","82,346,609","22.75","22.75","22.30","22.35","-","0.40","22.35","33","22.40","1","11.06",
"1104","環泥","5,789,307","877","112,880,008","19.35","19.75","19.35","19.60","+","0.25","19.60","10","19.65","85","12.81",
"1108","幸福","753,505","315","6,408,025","8.57","8.72","8.38","8.38","-","0.18","8.38","6","8.44","4","",
"1109","信大","4,549,675","1,851","94,312,430","21.20","21.20","20.05","20.10","-","0.85","20.05","41","20.10","23","7.03",
"1110","東泥","200,000","36","3,483,050","17.20","17.45","17.20","17.45","+","0.20","17.20","33","17.45","11","872.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

