"108年12月17日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","12,338,642","4,162","528,412,057","42.85","42.95","42.70","42.95","+","0.15","42.90","530","42.95","443","10.58",
"1101B","台泥乙特","4,020","5","215,064","53.50","53.50","53.50","53.50"," ","0.00","53.50","100","53.60","13","",
"1102","亞泥","9,180,593","3,920","434,436,242","47.40","47.65","47.00","47.65","+","0.50","47.60","2","47.65","222","10.50",
"1103","嘉泥","1,032,906","370","20,610,420","20.00","20.05","19.90","19.95"," ","0.00","19.95","24","20.00","231","9.88",
"1104","環泥","668,099","376","12,979,251","19.40","19.50","19.35","19.35"," ","0.00","19.35","166","19.40","13","12.65",
"1108","幸福","303,671","144","2,437,349","7.84","8.14","7.84","7.92","+","0.09","7.92","11","7.94","2","",
"1109","信大","236,957","142","4,531,227","19.20","19.25","19.05","19.15","-","0.05","19.15","17","19.20","65","6.70",
"1110","東泥","111,000","64","1,883,800","17.00","17.00","16.90","17.00","+","0.05","16.90","3","17.00","53","850.00",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

